Arkivtema-Behandlingstype,Arkivtema,Behandlingstema,Behandlingstype
ATTF;ATTST;FLYT-E,YRA,ab0065,ae0052
ATTF;ATTST;FLYT-O,YRA,ab0065,ae0014
ATTF;ATTST;FLYT-S,YRA,ab0065,ae0032
ATTF;ATTST;HJMR-E,YRA,ab0015,ae0052
ATTF;ATTST;HJMR-O,YRA,ab0015,ae0014
ATTF;ATTST;HJMR-S,YRA,ab0015,ae0032
ATTF;ATTST;HUSH-E,YRA,ab0220,ae0052
ATTF;ATTST;HUSH-O,YRA,ab0220,ae0014
ATTF;ATTST;HUSH-S,YRA,ab0220,ae0032
ATTF;ATTST;SEMA-E,YRA,ab0196,ae0052
ATTF;ATTST;SEMA-O,YRA,ab0196,ae0014
ATTF;ATTST;SEMA-S,YRA,ab0196,ae0032
ATTF;ATTST;SKOP-E,YRA,ab0177,ae0052
ATTF;ATTST;SKOP-O,YRA,ab0177,ae0014
ATTF;ATTST;SKOP-S,YRA,ab0177,ae0032
ATTF;ATTST;UNDM-E,YRA,ab0117,ae0052
ATTF;ATTST;UNDM-K,YRA,ab0117,ae0037
ATTF;ATTST;UNDM-O,YRA,ab0117,ae0014
ATTF;ATTST;UNDM-S,YRA,ab0117,ae0032
ATTF;;TFOR-O,YRA,ab0150,ae0097
ATTF;;TFOR-S,YRA,ab0150,ae0098
DAGP;DAGP;DAGO-A,DAG,ab0001,ae0271
DAGP;DAGP;DAGO-E,DAG,ab0001,ae0052
DAGP;DAGP;DAGO-F,DAG,ab0001,ae0010
DAGP;DAGP;DAGO-G,DAG,ab0001,ae0047
DAGP;DAGP;DAGO-K,DAG,ab0001,ae0037
DAGP;DAGP;DAGO-M,DAG,ab0001,ae0272
DAGP;DAGP;DAGO-N,DAG,ab0001,ae0026
DAGP;DAGP;DAGO-O,DAG,ab0001,ae0014
DAGP;DAGP;DAGO-S,DAG,ab0001,ae0032
DAGP;DAGP;DAGO-T,DAG,ab0001,ae0036
DAGP;DAGP;DEKS-O,DAG,ab0002,ae0014
DAGP;DAGP;DEKS-S,DAG,ab0002,ae0032
DAGP;DAGP;FETI-E,DAG,ab0497,ae0052
DAGP;DAGP;FETI-F,DAG,ab0497,ae0010
DAGP;DAGP;FETI-G,DAG,ab0497,ae0047
DAGP;DAGP;FETI-K,DAG,ab0497,ae0037
DAGP;DAGP;FETI-N,DAG,ab0497,ae0026
DAGP;DAGP;FETI-O,DAG,ab0497,ae0014
DAGP;DAGP;FETI-S,DAG,ab0497,ae0032
DAGP;DAGP;FETI-T,DAG,ab0497,ae0036
DAGP;DAGP;FISK-E,DAG,ab0003,ae0052
DAGP;DAGP;FISK-F,DAG,ab0003,ae0010
DAGP;DAGP;FISK-G,DAG,ab0003,ae0047
DAGP;DAGP;FISK-N,DAG,ab0003,ae0026
DAGP;DAGP;FISK-O,DAG,ab0003,ae0014
DAGP;DAGP;FISK-S,DAG,ab0003,ae0032
DAGP;DAGP;FISK-T,DAG,ab0003,ae0036
DAGP;DAGP;LONN-E,DAG,ab0004,ae0052
DAGP;DAGP;LONN-F,DAG,ab0004,ae0010
DAGP;DAGP;LONN-G,DAG,ab0004,ae0047
DAGP;DAGP;LONN-K,DAG,ab0004,ae0037
DAGP;DAGP;LONN-N,DAG,ab0004,ae0026
DAGP;DAGP;LONN-O,DAG,ab0004,ae0014
DAGP;DAGP;LONN-S,DAG,ab0004,ae0032
DAGP;DAGP;LONN-T,DAG,ab0004,ae0036
DAGP;DAGP;PERM-E,DAG,ab0005,ae0052
DAGP;DAGP;PERM-F,DAG,ab0005,ae0010
DAGP;DAGP;PERM-G,DAG,ab0005,ae0047
DAGP;DAGP;PERM-K,DAG,ab0005,ae0037
DAGP;DAGP;PERM-N,DAG,ab0005,ae0026
